model,threshold,f1score,precision_score,accuracy_score,balanced_accuracy_score,recall_score,roc_auc_score,seed,cv,config,method,config_epochs,config_batch,config_pred_weights,config_input_weights
DTL,0.5,0.7397260273972602,0.7605633802816901,0.9068627450980392,0.8344744744744745,0.72,0.9362162162162164,Seed_105,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5526315789473684,0.5060240963855421,0.8333333333333334,0.7438758496857766,0.6086956521739131,0.8088153563336326,Seed_105,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7205882352941175,0.7313432835820896,0.9068627450980392,0.8285237912017442,0.7101449275362319,0.8902141849429266,Seed_105,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.6030150753768844,0.5504587155963303,0.8063725490196079,0.7562893081761006,0.6666666666666666,0.8047868623340321,Seed_105,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.689655172413793,0.7142857142857143,0.8676470588235294,0.7955974842767295,0.6666666666666666,0.8865828092243186,Seed_105,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4645669291338582,0.329608938547486,0.6666666666666666,0.7131531531531532,0.7866666666666666,0.826146146146146,Seed_106,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6870229007633588,0.8035714285714286,0.8995098039215687,0.7834834834834834,0.6,0.9414214214214216,Seed_106,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4444444444444444,0.3103448275862069,0.6691176470588235,0.7143131973836091,0.782608695652174,0.7780770381770766,Seed_106,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.696969696969697,0.7301587301587301,0.9019607843137256,0.8082595870206489,0.6666666666666666,0.8705485015604293,Seed_106,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4483985765124555,0.3298429319371728,0.6200980392156863,0.6487421383647798,0.7,0.7412473794549266,Seed_106,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6989247311827957,0.6770833333333334,0.8627450980392157,0.8123689727463312,0.7222222222222222,0.8938155136268344,Seed_106,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5205479452054795,0.3958333333333333,0.7426470588235294,0.7493693693693694,0.76,0.8310910910910911,Seed_107,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7272727272727272,0.7647058823529411,0.9044117647058824,0.8226426426426426,0.6933333333333334,0.9453453453453454,Seed_107,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4465116279069767,0.3287671232876712,0.7083333333333334,0.7032833140951649,0.6956521739130435,0.7698687529391647,Seed_107,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6611570247933884,0.7692307692307693,0.8995098039215687,0.7721559574195203,0.5797101449275363,0.8906844512846822,Seed_107,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5560165975103735,0.4437086092715231,0.7377450980392157,0.740146750524109,0.7444444444444445,0.7837526205450733,Seed_107,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6900584795321638,0.7283950617283951,0.8700980392156863,0.7931865828092244,0.6555555555555556,0.8757512229210342,Seed_107,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4144736842105262,0.2751091703056768,0.5637254901960784,0.6707507507507507,0.84,0.7952952952952953,Seed_108,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7034482758620689,0.7285714285714285,0.8946078431372549,0.8114714714714715,0.68,0.934934934934935,Seed_108,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.3536977491961415,0.2272727272727272,0.5073529411764706,0.6227395151981532,0.7971014492753623,0.7438117224573554,Seed_108,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.736842105263158,0.765625,0.9142156862745098,0.8329485699628063,0.7101449275362319,0.8944465820187251,Seed_108,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4376899696048632,0.301255230125523,0.5465686274509803,0.6374213836477988,0.8,0.7254367575122292,Seed_108,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6941176470588235,0.7375,0.8725490196078431,0.7947589098532495,0.6555555555555556,0.8896925227113905,Seed_108,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.437956204379562,0.3015075376884422,0.6225490196078431,0.6912912912912913,0.8,0.8156756756756757,Seed_109,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.725925925925926,0.8166666666666667,0.909313725490196,0.8101501501501501,0.6533333333333333,0.9447847847847848,Seed_109,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.3722627737226277,0.248780487804878,0.5784313725490197,0.6424265743234577,0.7391304347826086,0.7590098755931769,Seed_109,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6956521739130435,0.6956521739130435,0.8970588235294118,0.8168526356290882,0.6956521739130435,0.8871788294643239,Seed_109,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4647887323943662,0.3402061855670103,0.6274509803921569,0.6654088050314465,0.7333333333333333,0.7149545772187282,Seed_109,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7039106145251396,0.7078651685393258,0.8700980392156863,0.8091194968553459,0.7,0.8988469601677149,Seed_109,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
